Device Name,IP Detail,Region,Building Name,Offline Date Time,Status,Down Time (hours)
Building 10 JOC _DVR,10.100.0.101,RJOC 10 A,Building 10,-,Online,-
Building10_10.100.0.192_NVR,10.100.0.192,RJOC 10 A,Building 10,-,Online,-
Building10_10.100.0.194_NVR,10.100.0.194,RJOC 10 A,Building 10,-,Online,-
Building10_10.100.0.194_NVR,10.100.0.194,RJOC 10 A,Building 10,-,Online,-
Building10_102_DVR,10.100.0.102,RJOC 10 A,Building 10,-,Online,-
Building10_103_DVR,10.100.0.103,RJOC 10 A,Building 10,-,Online,-
Building10_104_DVR,10.100.0.104,RJOC 10 A,Building 10,-,Online,-
Building10_104_DVR,10.100.0.104,RJOC 10 A,Building 10,-,Online,-
Building10_105_DVR,10.100.0.105,RJOC 10 A,Building 10,-,Online,-
Building10_106_DVR,10.100.0.106,RJOC 10 A,Building 10,-,Online,-
Building10_107_DVR,10.100.0.107,RJOC 10 A,Building 10,-,Online,-
Building10_108_DVR,10.100.0.108,RJOC 10 A,Building 10,-,Online,-
Building10_109_DVR,10.100.0.109,RJOC 10 A,Building 10,-,Online,-
Building10_110_DVR,10.100.0.110,RJOC 10 A,Building 10,-,Online,-
Building10_111_DVR,10.100.0.111,RJOC 10 A,Building 10,-,Online,-
Building10_112_DVR,10.100.0.112,RJOC 10 A,Building 10,-,Online,-
Building10_113_DVR,10.100.0.113,RJOC 10 A,Building 10,-,Online,-
Building10_114_DVR,10.100.0.114,RJOC 10 A,Building 10,-,Online,-
Building10_115_DVR,10.100.0.115,RJOC 10 A,Building 10,-,Online,-
Building10_116_DVR,10.100.0.116,RJOC 10 A,Building 10,-,Online,-
Building10_117_DVR,10.100.0.117,RJOC 10 A,Building 10,-,Online,-
Building10_118_DVR,10.100.0.118,RJOC 10 A,Building 10,-,Online,-
Building10_119_DVR,10.100.0.119,RJOC 10 A,Building 10,-,Online,-
Building10_120_DVR,10.100.0.120,RJOC 10 A,Building 10,-,Online,-
Building10_121_DVR,10.100.0.121,RJOC 10 A,Building 10,-,Online,-
Building10_122_DVR,10.100.0.122,RJOC 10 A,Building 10,-,Online,-
Building10_123_DVR,10.100.0.123,RJOC 10 A,Building 10,-,Online,-
Building10_124_DVR,10.100.0.124,RJOC 10 A,Building 10,-,Online,-
Building10_125_DVR,10.100.0.125,RJOC 10 A,Building 10,-,Online,-
Building10_126_DVR,10.100.0.126,RJOC 10 A,Building 10,-,Online,-
Building10_127_DVR,10.100.0.127,RJOC 10 A,Building 10,-,Online,-
Building10_128_DVR,10.100.0.128,RJOC 10 A,Building 10,-,Online,-
Building10_129_DVR,10.100.0.129,RJOC 10 A,Building 10,-,Online,-
Building10_130_DVR,10.100.0.130,RJOC 10 A,Building 10,-,Online,-
Building10_131_DVR,10.100.0.131,RJOC 10 A,Building 10,-,Online,-
Building10_132_DVR,10.100.0.132,RJOC 10 A,Building 10,-,Online,-
Building10_133_DVR,10.100.0.133,RJOC 10 A,Building 10,-,Online,-
Building10_134_DVR,10.100.0.134,RJOC 10 A,Building 10,-,Online,-
Building10_135_DVR,10.100.0.135,RJOC 10 A,Building 10,-,Online,-
Building10_136_DVR,10.100.0.136,RJOC 10 A,Building 10,-,Online,-
Building10_137_DVR,10.100.0.137,RJOC 10 A,Building 10,-,Online,-
Building10_138_DVR,10.100.0.138,RJOC 10 A,Building 10,-,Online,-
Building10_139_DVR,10.100.0.139,RJOC 10 A,Building 10,-,Online,-
Building10_141_DVR,10.100.0.141,RJOC 10 A,Building 10,-,Online,-
Building10_142_DVR,10.100.0.142,RJOC 10 A,Building 10,-,Online,-
